Pair,12:19:12,12:19:39,change_3,12:20:06,change_5,12:20:32,change_7,12:20:58,change_9,12:21:29,change_11,12:21:55,change_13,12:22:23,change_15,12:22:51,change_17,12:23:17,change_19,12:23:45,change_21,12:24:12,change_23,12:24:41,change_25,12:25:08,change_27,12:25:35,change_29,12:26:04,change_31,12:26:32,change_33,12:27:00,change_35,12:27:27,change_37,12:27:53,change_39,12:28:20,change_41
BTCUSDT,59841.02,59891.23,0.0839056553514736,59867.14,-0.0402229174455154,59884.42,0.0288639143276241,59876.57,-0.0131085848372557,59898.25,0.0362078188513475,59879.88,-0.030668675629092,59859.26,-0.0344356067513751,59866.15,0.0115103327371561,59901.17,0.0584971640902192,59901.01,-0.0002671066358073,59883.04,-0.0299994941654592,59900.33,0.0288729496698912,59886.2,-0.0235891855687684,60028.49,0.2376006492313769,60088.04,0.0992028951586203,60012.68,-0.1254159729623409,59982.88,-0.0496561726621822,59903.48,-0.1323711032214428,59884.04,-0.0324522047800934,59838.86,-0.07544581160522952
1INCHUSDT,3.904,3.913,0.2305327868852432,3.907,-0.1533350370559617,3.908,0.0255950857435344,3.903,-0.1279426816786052,3.903,0.0,3.903,0.0,3.903,0.0,3.904,0.0256213169356876,3.908,0.1024590163934427,3.909,0.0255885363357187,3.909,0.0,3.912,0.0767459708365339,3.915,0.07668711656442,3.932,0.4342273307790524,3.94,0.2034587995930825,3.932,-0.203045685279188,3.929,-0.0762970498474087,3.918,-0.2799694578773142,3.91,-0.2041858090862686,3.900,-0.2557544757033307
AAVEUSDT,284.3,284.4,0.0351741118536636,284.1,-0.1054852320674945,284.2,0.0351988736360316,284.1,-0.0351864883884468,284.4,0.1055966209081149,284.3,-0.0351617440224915,284.2,-0.0351741118536836,284.1,-0.0351864883884468,284.2,0.0351988736360316,284.2,0.0,284.2,0.0,284.2,0.0,284.1,-0.0351864883884468,285.4,0.4575853572685514,286.6,0.4204625087596516,285.8,-0.2791346824843026,285.3,-0.1749475157452764,284.5,-0.2804065895548585,284.2,-0.1054481546572974,283.4,-0.28149190710767463
ACMUSDT,7.379,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.379,0.0,7.391,0.1626236617427897,7.391,0.0,7.401,0.1352996888107128,7.401,0.0,7.4,-0.0135116876097749,7.4,0.0,7.400,0.0
ADAUSDT,1.879,1.881,0.106439595529537,1.879,-0.1063264221158959,1.88,0.0532197977647626,1.879,-0.0531914893616962,1.88,0.0532197977647626,1.88,0.0,1.878,-0.1063829787234043,1.878,0.0,1.879,0.0532481363152349,1.88,0.0532197977647626,1.879,-0.0531914893616962,1.88,0.0532197977647626,1.88,0.0,1.886,0.319148936170213,1.89,0.2120890774125134,1.888,-0.1058201058201059,1.886,-0.1059322033898306,1.883,-0.1590668080593792,1.879,-0.2124269782262349,1.876,-0.15965939329431153
AIONUSDT,0.1654,0.1654,0.0,0.1654,0.0,0.1654,0.0,0.1654,0.0,0.1653,-0.0604594921402593,0.1653,0.0,0.1653,0.0,0.1653,0.0,0.1653,0.0,0.1653,0.0,0.1653,0.0,0.1653,0.0,0.1653,0.0,0.1661,0.4839685420447642,0.1662,0.0602046959662787,0.1663,0.0601684717208283,0.1664,0.060132291040282,0.1659,-0.3004807692307695,0.1661,0.1205545509343012,0.1661,0.0
AKROUSDT,0.03262,0.03261,-0.0306560392397396,0.03261,0.0,0.03261,0.0,0.03261,0.0,0.03261,0.0,0.03261,0.0,0.03257,-0.1226617601962538,0.03256,-0.0307031010132117,0.03255,-0.0307125307125188,0.03258,0.092165898617497,0.03258,0.0,0.03258,0.0,0.03258,0.0,0.03278,0.613873542050334,0.03303,0.7626601586333137,0.03285,-0.5449591280653939,0.03282,-0.0913242009132277,0.03265,-0.5179768433881885,0.03267,0.061255742725878,0.03260,-0.2142638506274889
ALGOUSDT,1.6679,1.6706,0.161880208645611,1.6687,-0.1137315934394835,1.6671,-0.0958830227122937,1.667,-0.0059984404054939,1.6682,0.0719856028794161,1.67,0.1079007313271804,1.6691,-0.0538922155688563,1.6672,-0.1138338026481344,1.6701,0.1739443378118943,1.6713,0.0718519849110885,1.671,-0.017950098725541,1.6733,0.1376421304608,1.776,6.137572461602821,2.1001,18.248873873873865,2.3656,12.642255130708076,2.244,-5.1403449442002,2.3192,3.3511586452762794,2.3375,0.7890651948947905,2.3849,2.0278074866310205,2.3800,-0.2054593484003575
ALICEUSDT,14.44,14.46,0.138504155124663,14.45,-0.069156293222694,14.45,0.0,14.46,0.0692041522491457,14.5,0.2766251728907271,14.5,0.0,14.52,0.1379310344827556,14.53,0.0688705234159764,14.54,0.068823124569854,14.55,0.0687757909216063,14.59,0.2749140893470731,14.59,0.0,14.59,0.0,14.68,0.6168608636052081,14.71,0.2043596730245309,14.6,-0.7477906186267926,14.61,0.06849315068493,14.52,-0.6160164271047218,14.49,-0.2066115702479294,14.44,-0.3450655624568717
ALPACAUSDT,0.7827,0.7839,0.1533154465312495,0.7833,-0.0765403750478434,0.7833,0.0,0.7833,0.0,0.7833,0.0,0.7841,0.1021320056172632,0.7834,-0.089274327254181,0.7834,0.0,0.7834,0.0,0.7826,-0.10211896859842,0.7826,0.0,0.7826,0.0,0.7834,0.1022233580373144,0.7835,0.0127648710748007,0.785,0.1914486279515069,0.7841,-0.1146496815286639,0.7845,0.0510139012880953,0.7842,-0.0382409177820225,0.7842,0.0,0.7833,-0.11476664116297015
