url	brand	code	Code	Category	Title	Price	List_Price	Availability	Variant	Description	Features	Images	Image_01	Image_02	Image_03	Image_04	Image_05	Image_06	Image_07	Image_08	Image_09
https://www.powabeam.com.au/flex-riding-crop-black-690mm.html	Fury 	1803	1803	Outdoors Gear / Whips	Flex Riding Crop - Black 690mm	$10.20		In stock		<p>Fury Flex Riding Crop is an all black, quality, flexible horse riding crop.</p><p>The total length is approximately 690mm</p><p>This riding crop is also available in hot pink 700mm </p><p>This riding crop is also available in black 710mm </p><p>Fury sporting knives are generally an eye catching and practical range of affordable fixed blades, pocket knives, throwing knives and machetes.</p>		https://www.powabeam.com.au/images/detailed/13/01803-Fury-Flex-Riding-Crop-Black.jpg,https://www.powabeam.com.au/images/detailed/13/01803-Fury-Flex-Riding-Crop-Black-Head.jpg,https://www.powabeam.com.au/images/detailed/13/01803-Fury-Flex-Riding-Crop-Black-Handle.jpg	https://www.powabeam.com.au/images/detailed/13/01803-Fury-Flex-Riding-Crop-Black.jpg	https://www.powabeam.com.au/images/detailed/13/01803-Fury-Flex-Riding-Crop-Black-Head.jpg	https://www.powabeam.com.au/images/detailed/13/01803-Fury-Flex-Riding-Crop-Black-Handle.jpg						
https://www.powabeam.com.au/flex-riding-crop-pink-700mm.html	Fury 	1804	1804	Blades & Accessories	Flex Riding Crop - Pink 700mm	$8.20	$10.20	In stock		<p>Fury Flex Riding Crop is a quality, flexible horse riding crop in a cute pink colour.</p><p>The total length is approximately 700mm</p><p>This riding crop is also available in black 710mm </p><p>This riding crop is also available in black 690mm </p><p>Fury sporting knives are generally an eye catching and practical range of affordable fixed blades, pocket knives, throwing knives and machetes.</p>		https://www.powabeam.com.au/images/detailed/13/01804-Fury-Flex-Riding-Crop-Pink.jpg,https://www.powabeam.com.au/images/detailed/13/01804-Fury-Flex-Riding-Crop-Pink-Handle.jpg,https://www.powabeam.com.au/images/detailed/13/01804-Fury-Flex-Riding-Crop-Pink-Head.jpg	https://www.powabeam.com.au/images/detailed/13/01804-Fury-Flex-Riding-Crop-Pink.jpg	https://www.powabeam.com.au/images/detailed/13/01804-Fury-Flex-Riding-Crop-Pink-Handle.jpg	https://www.powabeam.com.au/images/detailed/13/01804-Fury-Flex-Riding-Crop-Pink-Head.jpg						
https://www.powabeam.com.au/marksman-slingshot.html	Marksman	3030	3030	Slingshots & Ammo / Slingshots	Marksman Slingshot	$13.95		In stock		<p>Marksman Complete SlingshotTalon GripTapered high velocity band offers 30% greater velocityRugged steel yokeMolded finger grooved handle for added comfort</p><p>This item may be prohibited in some states, such as NSW, VIC, WA and NT. We suggest checking with your local State Regulations before purchasing this product</p>	<p>Features</p><ul><li>GTIN: 26785030308</li></ul>	https://www.powabeam.com.au/images/detailed/6/3030.jpg,https://www.powabeam.com.au/images/detailed/7/3355-Marksman-Tapered-Sligshot-Band-v-regular-slingshot_15ll-ec.jpg	https://www.powabeam.com.au/images/detailed/6/3030.jpg	https://www.powabeam.com.au/images/detailed/7/3355-Marksman-Tapered-Sligshot-Band-v-regular-slingshot_15ll-ec.jpg							
https://www.powabeam.com.au/steel-pellets-6mm.html	Marksman	3100	3100	Slingshots & Ammo / Pellets/Ammo	Steel Slingshot Pellets 6mm	$6.50		In stock		<ul><li>Precision ground &amp; polished steel shot for superior performance &amp; accuracy</li><li>Perfect for all slingshot needs</li><li>Pack of 250</li><li>6x packs per carton</li><li>This item may be prohibited in some states, such as NT. We suggest checking with your local State Regulations before purchasing this product</li></ul>	<p>Features</p><ul><li>GTIN: 26785031008</li></ul>	https://www.powabeam.com.au/images/detailed/9/3100-new-pack.jpg	https://www.powabeam.com.au/images/detailed/9/3100-new-pack.jpg								
https://www.powabeam.com.au/talon-shot-30.-cal-ammo.html	Marksman	3130	3130	Slingshots & Ammo / Pellets/Ammo	Talon Shot 30.cal Steel Pellets	$6.50		In stock		<ul><li>Precision ground &amp; polished 30. cal steel shot for superior performance and accuracy</li><li>Excellent choice for all slingshot ammo</li><li>1x Pack of approx 150 pellets</li><li>6x packs per carton</li><li>This item may be prohibited in some states, such as NT. We suggest checking with your local State Regulations before purchasing this product</li></ul>	<p>Features</p><ul><li>GTIN: 26785031305</li></ul>	https://www.powabeam.com.au/images/detailed/8/3130-slingshot-pellets-steel-ammo-30cal.jpg	https://www.powabeam.com.au/images/detailed/8/3130-slingshot-pellets-steel-ammo-30cal.jpg								
https://www.powabeam.com.au/steel-slingshot-pellets-9.5mm.html	Marksman	3138	3138	Slingshots & Ammo / Pellets/Ammo	Steel Slingshot Pellets 9.5mm	$6.50		In stock		"<ul><li>Precision ground &amp; polished 3/8"" (9.5mm) steel shot for superior performance and accuracy</li><li>Excellent choice for all slingshot ammo</li><li>1x Pack of approx 75 pellets</li><li>6x packs per carton</li><li>This item may be prohibited in some states, such as NT. We suggest checking with your local State Regulations before purchasing this product</li></ul>"	<p>Features</p><ul><li>GTIN: 26785031381</li></ul>	https://www.powabeam.com.au/images/detailed/5/3138__95961.jpg	https://www.powabeam.com.au/images/detailed/5/3138__95961.jpg								
https://www.powabeam.com.au/slingshot-band-clear.html	Marksman	3330	3330	Slingshots & Ammo / Replacement Parts	Slingshot Band - Clear	$5.15		In stock		<p>Standard Slingshot Bands with Leather PouchMarksman laserhawk</p><p>This item may be prohibited in some states, such as NT. We suggest checking with your local State Regulations before purchasing this product</p>	<p>Features</p><ul><li>GTIN: 26785033309</li></ul>	https://www.powabeam.com.au/images/detailed/9/3330-new-pack.jpg	https://www.powabeam.com.au/images/detailed/9/3330-new-pack.jpg								
https://www.powabeam.com.au/slingshot-tapered-band.html	Marksman	3355	3355	Slingshots & Ammo / Replacement Parts	Marksman Slingshot Tapered Band	$6.15		In stock		<p>Hyper-Velocity Tapered Slingshot Band 30% Greater Velocity With Less Effort. Marksman Laserhawk Very Popular</p><p>This item may be prohibited in some states, such as NT. We suggest checking with your local State Regulations before purchasing this product</p>	<p>Features</p><ul><li>GTIN: 26785033552</li></ul>	https://www.powabeam.com.au/images/detailed/12/3355-new-pack.jpg,https://www.powabeam.com.au/images/detailed/7/Marksman-Tapered-Sligshot-Band-v-regular-slingshot.jpg,https://www.powabeam.com.au/images/detailed/9/3030.jpg	https://www.powabeam.com.au/images/detailed/12/3355-new-pack.jpg	https://www.powabeam.com.au/images/detailed/7/Marksman-Tapered-Sligshot-Band-v-regular-slingshot.jpg	https://www.powabeam.com.au/images/detailed/9/3030.jpg						
https://www.powabeam.com.au/multi-tool-15-implements-red.html	Fury 	10215	10215	Blades & Accessories / Multi Tools	Fury Fluer-De-Lis 15 Implement Multi Tool - Maroon	$6.25		On backorder		<p>Fury Fleur-de-lis multi tool is small enough to keep with you wherever you go and has 15 implements to help with almost any task. </p><p><strong>Features:</strong></p><ul><li>Stainless steel implements</li><li>Hard Maroon coloured casing on handle</li><li>Approx 88mm when closed</li></ul><p><strong>Implements include:</strong></p><ul><li>Small blade</li><li>Scissors</li><li>File</li><li>Keyring/ Clip</li><li>Toothpick</li><li>Tweezers</li><li>Corkscrew</li><li>Phillips</li><li>Lanyard</li><li>Saw</li><li>Large Blade</li><li>Bottle opener</li><li>Can opener</li><li>Screw driver</li><li>Fish scaler</li></ul><p>Fury sporting knives are generally an eye catching and practical range of affordable fixed blades, pocket knives, throwing knives and machetes. </p>	<p>Features</p><ul><li>GTIN: 766359102153</li></ul>	https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool.jpg,https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-2.jpg,https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-3.jpg,https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-4.jpg,https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-5.jpg,https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-box.jpg	https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool.jpg	https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-2.jpg	https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-3.jpg	https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-4.jpg	https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-5.jpg	https://www.powabeam.com.au/images/detailed/9/10215-fury-maroon-fluer-de-lis-multi-tool-box.jpg			
https://www.powabeam.com.au/hawk-bill-knife-113mm.html	Fury 	10233	10233	Blades & Accessories / Folding Knives	Fury Hawk Bill Folding Knife	$9.95		In stock		<p>Fury Hawk Bill Folding Knife comes with a polished brass lined wooden handle perfect for any camper and ideal for pruning.</p><ul><li>2.4mm 402 Stainless Steel Blade</li><li>17mm Polished Hardwood Handle with Brass Shackle</li><li>113mm length (folded)</li><li>202mm overall length</li></ul><p>Fury sporting knives are generally an eye catching and practical range of affordable fixed blades, pocket knives, throwing knives and machetes. </p>	<p>Features</p><ul><li>GTIN: 766359102337</li></ul>	https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife.jpg,https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife-2.jpg,https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife-3.jpg,https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife-4.jpg,https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife-box.jpg	https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife.jpg	https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife-2.jpg	https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife-3.jpg	https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife-4.jpg	https://www.powabeam.com.au/images/detailed/9/10233-fury-hawk-bill-folding-knife-box.jpg				
