product code	url	description	availability	size_chart	TITLE	Product Group	Barcode	Price Ex	RRP Inc GST	images	image_01	image_02	image_03	image_04	Image_05
703242992	https://www.lustyindustries.com/tld-s15-baja-500-jacket-charcoal-sml-703242992	<p>100% Cotton, wax coated water resistant twill, hidden snap placket at center front with waterproof 2-way YKK zipper, contrast interior yoke with racer screen-print &amp; interior medical patch. Waterproof YKK zippers at wearer’s right chest pocket, sleeve vents &amp; back stash pocket. Cargo front pockets with side entry, TLD logo embroidery at chest, reflective heat transfer details, self fabric shoulder &amp; elbow pads, adjustable snap cuffs, adjustable snap cuffs, adjustable Nylon drawstring at waist &amp; TLD woven accent label.Break the wind, don’t let it break you! This is one jacket that truly lives up to the promise implied within the term “windbreaker.” The dual serpents of wind resistance and inclement weather crumble before the mighty Baja 500 jacket!For newcomers and veterans alike, this jacket is the ultimate intersection of fashion and function. Whether you’re zooming through the trenches of dirt obstacle trails or navigating the maze of an urban sprawl, this jacket has you covered – literally. It shines a triumphant charcoal during the day, and – later on – fades effortlessly into the empty tones of nightfall. The zip-out hood will keep your head covered during the most trying of times, beads of rain will disintegrate over its water-resistant exterior, and multiple large pockets will keep your possessions handy and free from the various threats water may pose.Never fall victim to a lack of storage space again! Carry your everyday essentials in comfort and style with the Troy Lee Designs Baja 500 windbreaker jacket. Featuring two spacious front pockets, two utility-optimized breast pockets, an internal ventilation structure, an optional zip-out hood, and weather-resistant capabilities -- this highly-durable jacket is sure to become a mainstay of your many travels, both on-road and off. It doesn’t matter what you may use it for; weather-resistance and ample storage space make this jacket a perfect blend of form and function for any motor-sport or off-road enthusiast!</p>	In Stock		TLD BAJA 500 JACKET CHARCOAL SML	Jackets | Windbreakers		$100.00	$299.95	/images/ProductImages/70324299.jpg,/images/ProductImages/70324299_2.jpg,/images/ProductImages/70324299_3.jpg,/images/ProductImages/70324299_4.jpg	https://www.lustyindustries.com/images/ProductImages/70324299.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_2.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_3.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_4.jpg	
703242994	https://www.lustyindustries.com/tld-s15-baja-500-jacket-charcoal-lge-703242994	<p>100% Cotton, wax coated water resistant twill, hidden snap placket at center front with waterproof 2-way YKK zipper, contrast interior yoke with racer screen-print &amp; interior medical patch. Waterproof YKK zippers at wearer’s right chest pocket, sleeve vents &amp; back stash pocket. Cargo front pockets with side entry, TLD logo embroidery at chest, reflective heat transfer details, self fabric shoulder &amp; elbow pads, adjustable snap cuffs, adjustable snap cuffs, adjustable Nylon drawstring at waist &amp; TLD woven accent label.Break the wind, don’t let it break you! This is one jacket that truly lives up to the promise implied within the term “windbreaker.” The dual serpents of wind resistance and inclement weather crumble before the mighty Baja 500 jacket!For newcomers and veterans alike, this jacket is the ultimate intersection of fashion and function. Whether you’re zooming through the trenches of dirt obstacle trails or navigating the maze of an urban sprawl, this jacket has you covered – literally. It shines a triumphant charcoal during the day, and – later on – fades effortlessly into the empty tones of nightfall. The zip-out hood will keep your head covered during the most trying of times, beads of rain will disintegrate over its water-resistant exterior, and multiple large pockets will keep your possessions handy and free from the various threats water may pose.Never fall victim to a lack of storage space again! Carry your everyday essentials in comfort and style with the Troy Lee Designs Baja 500 windbreaker jacket. Featuring two spacious front pockets, two utility-optimized breast pockets, an internal ventilation structure, an optional zip-out hood, and weather-resistant capabilities -- this highly-durable jacket is sure to become a mainstay of your many travels, both on-road and off. It doesn’t matter what you may use it for; weather-resistance and ample storage space make this jacket a perfect blend of form and function for any motor-sport or off-road enthusiast!</p>	In Stock		TLD BAJA 500 JACKET CHARCOAL LGE	Jackets | Windbreakers	887202062711	$100.00	$299.95	/images/ProductImages/70324299.jpg,/images/ProductImages/70324299_2.jpg,/images/ProductImages/70324299_3.jpg,/images/ProductImages/70324299_4.jpg	https://www.lustyindustries.com/images/ProductImages/70324299.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_2.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_3.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_4.jpg	
703242993	https://www.lustyindustries.com/tld-s15-baja-500-jacket-charcoal-med-703242993	<p>100% Cotton, wax coated water resistant twill, hidden snap placket at center front with waterproof 2-way YKK zipper, contrast interior yoke with racer screen-print &amp; interior medical patch. Waterproof YKK zippers at wearer’s right chest pocket, sleeve vents &amp; back stash pocket. Cargo front pockets with side entry, TLD logo embroidery at chest, reflective heat transfer details, self fabric shoulder &amp; elbow pads, adjustable snap cuffs, adjustable snap cuffs, adjustable Nylon drawstring at waist &amp; TLD woven accent label.Break the wind, don’t let it break you! This is one jacket that truly lives up to the promise implied within the term “windbreaker.” The dual serpents of wind resistance and inclement weather crumble before the mighty Baja 500 jacket!For newcomers and veterans alike, this jacket is the ultimate intersection of fashion and function. Whether you’re zooming through the trenches of dirt obstacle trails or navigating the maze of an urban sprawl, this jacket has you covered – literally. It shines a triumphant charcoal during the day, and – later on – fades effortlessly into the empty tones of nightfall. The zip-out hood will keep your head covered during the most trying of times, beads of rain will disintegrate over its water-resistant exterior, and multiple large pockets will keep your possessions handy and free from the various threats water may pose.Never fall victim to a lack of storage space again! Carry your everyday essentials in comfort and style with the Troy Lee Designs Baja 500 windbreaker jacket. Featuring two spacious front pockets, two utility-optimized breast pockets, an internal ventilation structure, an optional zip-out hood, and weather-resistant capabilities -- this highly-durable jacket is sure to become a mainstay of your many travels, both on-road and off. It doesn’t matter what you may use it for; weather-resistance and ample storage space make this jacket a perfect blend of form and function for any motor-sport or off-road enthusiast!</p>	In Stock		TLD BAJA 500 JACKET CHARCOAL MED	Jackets | Windbreakers		$100.00	$299.95	/images/ProductImages/70324299.jpg,/images/ProductImages/70324299_2.jpg,/images/ProductImages/70324299_3.jpg,/images/ProductImages/70324299_4.jpg	https://www.lustyindustries.com/images/ProductImages/70324299.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_2.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_3.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_4.jpg	
703242996	https://www.lustyindustries.com/tld-s15-baja-500-jacket-charcoal-2xl-703242996	<p>100% Cotton, wax coated water resistant twill, hidden snap placket at center front with waterproof 2-way YKK zipper, contrast interior yoke with racer screen-print &amp; interior medical patch. Waterproof YKK zippers at wearer’s right chest pocket, sleeve vents &amp; back stash pocket. Cargo front pockets with side entry, TLD logo embroidery at chest, reflective heat transfer details, self fabric shoulder &amp; elbow pads, adjustable snap cuffs, adjustable snap cuffs, adjustable Nylon drawstring at waist &amp; TLD woven accent label.Break the wind, don’t let it break you! This is one jacket that truly lives up to the promise implied within the term “windbreaker.” The dual serpents of wind resistance and inclement weather crumble before the mighty Baja 500 jacket!For newcomers and veterans alike, this jacket is the ultimate intersection of fashion and function. Whether you’re zooming through the trenches of dirt obstacle trails or navigating the maze of an urban sprawl, this jacket has you covered – literally. It shines a triumphant charcoal during the day, and – later on – fades effortlessly into the empty tones of nightfall. The zip-out hood will keep your head covered during the most trying of times, beads of rain will disintegrate over its water-resistant exterior, and multiple large pockets will keep your possessions handy and free from the various threats water may pose.Never fall victim to a lack of storage space again! Carry your everyday essentials in comfort and style with the Troy Lee Designs Baja 500 windbreaker jacket. Featuring two spacious front pockets, two utility-optimized breast pockets, an internal ventilation structure, an optional zip-out hood, and weather-resistant capabilities -- this highly-durable jacket is sure to become a mainstay of your many travels, both on-road and off. It doesn’t matter what you may use it for; weather-resistance and ample storage space make this jacket a perfect blend of form and function for any motor-sport or off-road enthusiast!</p>	Low Stock (2)		TLD BAJA 500 JACKET CHARCOAL 2XL	Jackets | Windbreakers		$100.00	$299.95	/images/ProductImages/70324299.jpg,/images/ProductImages/70324299_2.jpg,/images/ProductImages/70324299_3.jpg,/images/ProductImages/70324299_4.jpg	https://www.lustyindustries.com/images/ProductImages/70324299.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_2.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_3.jpg	https://www.lustyindustries.com/images/ProductImages/70324299_4.jpg	
S335003003	https://www.lustyindustries.com/tld-19-flowline-s-s-tech-tee-factory-midngiht-blue-med-sample		In Stock		TLD 19 FLOWLINE S/S TECH TEE FACTORY MIDNGIHT BLUE MED SAMPLE	Tees | Tops		$29.62	$74.95						
756489212	https://www.lustyindustries.com/tld-18-starburst-qtr-crew-sock-black-8-10		In Stock		TLD 19 STARBURST QTR CREW SOCK BLACK 8 - 10	Socks	887202224829	$29.21	$47.95	/images/ProductImages/75648921.jpg	https://www.lustyindustries.com/images/ProductImages/75648921.jpg				
756489213	https://www.lustyindustries.com/tld-18-starburst-qtr-crew-sock-black-11-13		In Stock		TLD 19 STARBURST QTR CREW SOCK BLACK 11 - 13	Socks	887202224836	$29.21	$47.95	/images/ProductImages/75648921.jpg	https://www.lustyindustries.com/images/ProductImages/75648921.jpg				
610003200	https://www.lustyindustries.com/protection/moto-helmet-accessories/tld-se4-helmet-bag-black		No Stock		TLD SE4 HELMET BAG BLACK	Moto | Gearbags	887202161971	$90.82	$139.95	/images/ProductImages/610003200.jpg,/images/ProductImages/610003200_2.jpg	https://www.lustyindustries.com/images/ProductImages/610003200.jpg	https://www.lustyindustries.com/images/ProductImages/610003200_2.jpg			
2346-580	https://www.lustyindustries.com/ride-concepts-transition-clipless-lime-black-us-7-eu-39-5	<p>MEN'S TRANSITION CLIPLESS MOUNTAIN BIKE SHOEFOR RIDERS PREFERRING THE SECURITY AND POWER PROVIDED BY A CLIPLESS PEDAL SET-UP, WE PRESENT THE TRANSITION.These capable, high-performance, all-mountain shoes are designed and built to dominate—just like our Powerline and Skyline models—but with the added feature of clipless pedal compatibility. Climb like an angel, descend with conviction. FEATURES:</p><li>Rubber Kinetics | DST 8.0 MID GRIP Rubber Outsole</li><li>D3O High Impact Zone Insole Technology</li><li>D3O Asymmetrical medial collar protection</li><li>Custom-molded rubber toe cap and heel protection</li><li>Medial high-rise EVA midsole provides support and shock absorption</li><li>Fully gusseted tongue prohibits intake of dirt and debris</li><li>RC PowerDrive full-length molded nylon shank</li><li>Clipless pedal compatibility</li><li>Tech Fit</li> SIZE CHART	No Stock	https://www.lustyindustries.com/images/Size%20Chart.png?u=1TIeUg	RIDE CONCEPTS TRANSITION CLIPLESS LIME / BLACK US 7 EU 39.5	Clip (SPD)	810002572074	$186.29	$299.95	/images/ProductImages/2346-.jpg,/images/ProductImages/2346-_2.jpg,/images/ProductImages/2346-_3.jpg,/images/ProductImages/2346-_4.jpg	https://www.lustyindustries.com/images/ProductImages/2346-.jpg	https://www.lustyindustries.com/images/ProductImages/2346-_2.jpg	https://www.lustyindustries.com/images/ProductImages/2346-_3.jpg	https://www.lustyindustries.com/images/ProductImages/2346-_4.jpg	
2346-590	https://www.lustyindustries.com/ride-concepts-transition-clipless-lime-black-us-7-5-eu-40	<p>MEN'S TRANSITION CLIPLESS MOUNTAIN BIKE SHOEFOR RIDERS PREFERRING THE SECURITY AND POWER PROVIDED BY A CLIPLESS PEDAL SET-UP, WE PRESENT THE TRANSITION.These capable, high-performance, all-mountain shoes are designed and built to dominate—just like our Powerline and Skyline models—but with the added feature of clipless pedal compatibility. Climb like an angel, descend with conviction. FEATURES:</p><li>Rubber Kinetics | DST 8.0 MID GRIP Rubber Outsole</li><li>D3O High Impact Zone Insole Technology</li><li>D3O Asymmetrical medial collar protection</li><li>Custom-molded rubber toe cap and heel protection</li><li>Medial high-rise EVA midsole provides support and shock absorption</li><li>Fully gusseted tongue prohibits intake of dirt and debris</li><li>RC PowerDrive full-length molded nylon shank</li><li>Clipless pedal compatibility</li><li>Tech Fit</li> SIZE CHART	No Stock	https://www.lustyindustries.com/images/Size%20Chart.png?u=1TIeUg	RIDE CONCEPTS TRANSITION CLIPLESS LIME / BLACK US 7.5 EU 40	Clip (SPD)	810002572081	$186.29	$299.95	/images/ProductImages/2346-.jpg,/images/ProductImages/2346-_2.jpg,/images/ProductImages/2346-_3.jpg,/images/ProductImages/2346-_4.jpg	https://www.lustyindustries.com/images/ProductImages/2346-.jpg	https://www.lustyindustries.com/images/ProductImages/2346-_2.jpg	https://www.lustyindustries.com/images/ProductImages/2346-_3.jpg	https://www.lustyindustries.com/images/ProductImages/2346-_4.jpg	
